Time_s,BottomArm_deg,MiddleArm_deg,TopArm_deg,Bicep_deg,Wrist_deg
0,0,-3.81666561775622e-14,1.52666624710249e-13,-0,-0
0.02,-0.127099104436566,0.0635902171302297,0.0635087479175576,-0,-0
0.04,-0.49530240660134,0.248265193399889,0.247028983638773,-0,-0
0.06,-0.943696554725833,0.474063566337455,0.469576061911438,-0,-0
0.08,-1.40944702821926,0.709633271450652,0.699624092632327,-0,-0
0.1,-1.87853191174718,0.947927649281895,0.93015563031488,-0,-0
0.12,-2.34834052099273,1.18761479607561,1.15984950188104,-0,-0
0.14,-2.81845049302199,1.4284590675564,1.38847692203076,-0,-0
0.16,-3.28882779343481,1.67042154505342,1.6160005042365,-0,-0
0.18,-3.75950294644133,1.91349701986921,1.84241324385266,-0,-0
0.2,-4.23051577754958,2.15768187380785,2.06771681277698,-0,-0
0.22,-4.70190916875528,2.40297780054618,2.29190916922973,-0,-0
0.24,-5.17372644329715,2.64938606531715,2.51498893229171,-0,-0
0.26,-5.64601014366095,2.89690535530794,2.73695732168121,-0,-0
0.28,-6.11880365461183,3.14553607337809,2.95781382941428,-0,-0
0.3,-6.59215142119118,3.3952800936492,3.17755645712295,-0,-0
0.32,-7.06609467560109,3.64613280886802,3.39618967156705,-0,-0
0.34,-7.54068008616038,3.89809921852473,3.61370830444654,-0,-0
0.36,-8.01595112687937,4.15117783455857,3.83011365550412,-0,-0
0.38,-8.49195228738172,4.40536855261681,4.0454056147531,-0,-0
0.4,-8.96872903447199,4.66067219430534,4.259583118072,-0,-0
0.42,-9.44632619837325,4.91708816894119,4.47264648710095,-0,-0
0.44,-9.92478855196057,5.17461548843457,4.68459641235079,-0,-0
0.46,-10.4041641318087,5.43325671460492,4.89542999532889,-0,-0
0.48,-10.8844990247346,5.69301132568708,5.10514739334055,-0,-0
0.5,-11.365840091779,5.95387925628441,5.31374827164675,-0,-0
0.52,-11.8482358489211,6.21586166323201,5.52123103235117,-0,-0
0.54,-12.3317310562828,6.47895540783613,5.727598350702,-0,-0
0.56,-12.8163768508309,6.74316330294568,5.93284688890981,-0,-0
0.58,-13.3022228990591,7.00848593482534,6.13697550042243,-0,-0
0.6,-13.7893175750329,7.27492219860608,6.33998469496754,-0,-0
0.62,-14.2777116493258,7.5424726357561,6.54187328312764,-0,-0
0.64,-14.7674574650074,7.81113845829042,6.74263935236852,-0,-0
0.66,-15.258601804472,8.08091592851641,6.94228592652048,-0,-0
0.68,-15.7512023263863,8.3518093588725,7.14080787174493,-0,-0
0.7,-16.2453103640017,8.62381743203493,7.33820567156081,-0,-0
0.72,-16.7409794120896,8.89693996175688,7.53447861740833,-0,-0
0.74,-17.2382652452227,9.17117776410244,7.72962493257216,-0,-0
0.76,-17.7372211125334,9.44652937278286,7.923645090011,-0,-0
0.78,-18.2379031296696,9.72299473137885,8.11653808088065,-0,-0
0.8,-18.7403714811169,10.0005756929755,8.30830089969038,-0,-0
0.82,-19.2446829260397,10.2792712954054,8.49893332819017,-0,-0
0.84,-19.7508971427352,10.5590817635038,8.68843388111057,-0,-0
0.86,-20.2590763296315,10.8400080859665,8.87680022795149,-0,-0
0.88,-20.7692741190712,11.1220459516324,9.06403536481742,-0,-0
0.9,-21.2815607787749,11.4051995600518,9.25013355604629,-0,-0
0.92,-21.7959980686235,11.6894677221709,9.43509447633161,-0,-0
0.94,-22.312649656082,11.9748496753779,9.61891729559305,-0,-0
0.96,-22.8315827810609,12.2613457890687,9.80159995110271,-0,-0
0.98,-23.3528650859141,12.5489559185842,9.98314082634704,-0,-0
1,-23.8765602069351,12.8376774641699,10.1635407483858,-0,-0
1.02,-24.4027453411878,13.1275133364851,10.3427948030304,-0,-0
1.04,-24.9314901305681,13.4184622332284,10.520902316449,-0,-0
1.06,-25.4628673769451,13.7105235815604,10.6978617816525,-0,-0
1.08,-25.9969543301574,14.0036979235938,10.8736704500267,-0,-0
1.1,-26.5338209027586,14.297982157785,11.0483292575577,-0,-0
1.12,-27.0735494786278,14.5933774726112,11.2218346075188,-0,-0
1.14,-27.6162235813097,14.8898845891115,11.3941832820995,-0,-0
1.16,-28.1619215518418,15.187501515207,11.5653747902492,-0,-0
1.18,-28.7107283665845,15.4862279789127,11.735406753917,-0,-0
1.2,-29.2627347459277,15.7860648650465,11.9042754760753,-0,-0
1.22,-29.8180160153551,16.0870070751458,12.0719834392292,-0,-0
1.24,-30.3766765144624,16.3890584802364,12.2385236004001,-0,-0
1.26,-30.9388048259497,16.6922167796222,12.4038952900015,-0,-0
1.28,-31.5044957473707,16.9964809096413,12.5680964322655,-0,-0
1.3,-32.073849953418,17.3018507436389,12.7311238440053,-0,-0
1.32,-32.6469640044628,17.6083240738941,12.8929764399574,-0,-0
1.34,-33.2239401715557,17.9158995678118,13.0536520957873,-0,-0
1.36,-33.8048920937575,18.22457815013,13.2131461473644,-0,-0
1.38,-34.3899265646467,18.5343578610778,13.3714568904395,-0,-0
1.4,-34.9791575643749,18.8452377756949,13.528581388253,-0,-0
1.42,-35.5727056316888,19.1572176608261,13.6845158216615,-0,-0
1.44,-36.1706742396012,19.4702921424029,13.8392618275285,-0,-0
1.46,-36.773204308234,19.7844641164661,13.9928119299481,-0,-0
1.48,-37.3804195092766,20.0997311357505,14.1451643151967,-0,-0
1.5,-37.9924492577549,20.4160911515156,14.2963166086696,-0,-0
1.52,-38.6094323926614,20.7335431982993,14.4462651055834,-0,-0
1.54,-39.2315096093879,21.0520856135144,14.5950067218566,-0,-0
1.56,-39.8588162167398,21.3717146057057,14.7425406027188,-0,-0
1.58,-40.4915172773694,21.6924313960276,14.8888601655418,-0,-0
1.6,-41.1297645683808,22.0142332499045,15.0339630708112,-0,-0
1.62,-41.773718728674,22.3371180548824,15.1778461371462,-0,-0
1.64,-42.4235526298969,22.6610847676419,15.3205048125586,-0,-0
1.66,-43.0794236702439,22.9861283933951,15.4619388777502,-0,-0
1.68,-43.7415241994639,23.3122489547502,15.6021422512376,-0,-0
