Time_s,BottomArm_deg,MiddleArm_deg,TopArm_deg,Bicep_deg,Wrist_deg
0,0,-3.81666561775622e-14,1.52666624710249e-13,-0,-0
0.02,-0.130657097528817,0.0653715245777442,0.0652854214749997,-0,-0
0.04,-0.5091883020455,0.255243325496862,0.253936018422488,-0,-0
0.06,-0.970100871626091,0.487390616168386,0.482648412112459,-0,-0
0.08,-1.44888747511293,0.729629054361938,0.719052409058466,-0,-0
0.1,-1.9311115671575,0.974703537266711,0.955920455498441,-0,-0
0.12,-2.41408769693982,1.22123883984577,1.19189684893005,-0,-0
0.14,-2.89738622285375,1.46899553167745,1.42674547111884,-0,-0
0.16,-3.38097462788126,1.71793482419062,1.66042630627853,-0,-0
0.18,-3.86488610861555,1.96804888497433,1.89293457500015,-0,-0
0.2,-4.34916503658152,2.21933710523877,2.12426888250449,-0,-0
0.22,-4.83385826934047,2.47180129757761,2.35442705058237,-0,-0
0.24,-5.31901043850034,2.72543652799707,2.5834138875624,-0,-0
0.26,-5.80467042888711,2.98024806953333,2.81122401267127,-0,-0
0.28,-6.29088467595398,3.23623432750613,3.0378589004574,-0,-0
0.3,-6.77770040935972,3.49339517465772,3.2633185369413,-0,-0
0.32,-7.26516568296854,3.75173146600954,3.4876019017727,-0,-0
0.34,-7.75332805765043,4.01124261725018,3.71070938962204,-0,-0
0.36,-8.24223496107434,4.27192751755709,3.93264189563463,-0,-0
0.38,-8.73193673403949,4.53378892482485,4.15339641268841,-0,-0
0.4,-9.22248201373867,4.79682626905332,4.37297323399735,-0,-0
0.42,-9.71392013825327,5.06103949345142,4.59137210643782,-0,-0
0.44,-10.2063019323603,5.32642982447683,4.80859145618808,-0,-0
0.46,-10.6996749119882,5.59299403105778,5.02463414112255,-0,-0
0.48,-11.194092180213,5.86073497400815,5.23949687484148,-0,-0
0.5,-11.6896057843988,6.12965341875089,5.4531784294288,-0,-0
0.52,-12.1862664436254,6.39974817163314,5.66567950047285,-0,-0
0.54,-12.6841271261477,6.67101982533719,5.87699894754719,-0,-0
0.56,-13.1832423835135,6.94346977072283,6.08713478113629,-0,-0
0.58,-13.6836613942286,7.21709398411406,6.29609040584557,-0,-0
0.6,-14.1854437075857,7.49189713744807,6.50386043641748,-0,-0
0.62,-14.68864287968,7.76787785004808,6.71044551884609,-0,-0
0.64,-15.1933145412953,8.04503597163529,6.91584500931383,-0,-0
0.66,-15.6995164918161,8.32337240634939,7.12005714557865,-0,-0
0.68,-16.207304245685,8.60288571428292,7.32308247077989,-0,-0
0.7,-16.7167358586262,8.88357580712522,7.52492010780092,-0,-0
0.72,-17.2278734441146,9.165444724182,7.72556696751281,-0,-0
0.74,-17.7407758996375,9.4484915436418,7.9250228860526,-0,-0
0.76,-18.2555049242035,9.73271658709315,8.12328637752806,-0,-0
0.78,-18.7721244541507,10.0181208510657,8.32035520205625,-0,-0
0.8,-19.2906906162335,10.3046999986436,8.51623246019718,-0,-0
0.82,-19.8112750273718,10.5924583430746,8.71091240711046,-0,-0
0.84,-20.3339417728321,10.8813948786522,8.90439461626324,-0,-0
0.86,-20.8587563607025,11.1715087961888,9.09667838868,-0,-0
0.88,-21.3857878860855,11.4628005422841,9.2877616687286,-0,-0
0.9,-21.9151061984948,11.7552701892006,9.47764269923765,-0,-0
0.92,-22.4467765589725,12.0489148564763,9.66632266079625,-0,-0
0.94,-22.9808781976974,12.3437378517362,9.85379632120026,-0,-0
0.96,-23.5174826037334,12.6397378258142,10.0400631201018,-0,-0
0.98,-24.0566644799498,12.9369142530819,10.2251215671325,-0,-0
1,-24.5985028991809,13.2352677800149,10.408968873075,-0,-0
1.02,-25.1430701630664,13.5347953699002,10.5916059505251,-0,-0
1.04,-25.6904499593217,13.8354981483703,10.77302932887,-0,-0
1.06,-26.2407278803919,14.1373770630785,10.9532356109158,-0,-0
1.08,-26.7939843756141,14.4404301530094,11.1322243078597,-0,-0
1.1,-27.3503061523664,14.7446571581219,11.3099930681627,-0,-0
1.12,-27.9097862267328,15.0500592676392,11.4865379182427,-0,-0
1.14,-28.4725014217088,15.3566309653192,11.6618617744696,-0,-0
1.16,-29.0385582669414,15.6643765944968,11.8359571483437,-0,-0
1.18,-29.6080472052746,15.9732937666162,12.0088234649677,-0,-0
1.2,-30.1810650279596,16.2833814631568,12.1804586053797,-0,-0
1.22,-30.7577143168361,16.5946396349841,12.3508593086151,-0,-0
1.24,-31.3380940811345,16.9070661754651,12.5200243646638,-0,-0
1.26,-31.9223080629424,17.2206596051402,12.6879517857174,-0,-0
1.28,-32.5104721381756,17.5354210840548,12.8546366479922,-0,-0
1.3,-33.1026954984353,17.8513487297399,13.0200771252833,-0,-0
1.32,-33.6990937723726,18.1684415433198,13.1842703200582,-0,-0
1.34,-34.2997897059095,18.4866994161469,13.3472122373355,-0,-0
1.36,-34.9048893821165,18.8061168670001,13.5089045367965,-0,-0
1.38,-35.5145351492311,19.1266968942453,13.6693395977363,-0,-0
1.4,-36.1288535557442,19.4484371778438,13.828515380997,-0,-0
1.42,-36.7479760187081,19.771335590705,13.9864295026464,-0,-0
1.44,-37.3720436233164,20.095391210201,14.1430781163878,-0,-0
1.46,-38.0011997675342,20.4206024660305,14.2984579253227,-0,-0
1.48,-38.6355816530778,20.746965338593,14.4525681846312,-0,-0
1.5,-39.275357096176,21.0744813051602,14.6054019225123,-0,-0
1.52,-39.9206802468426,21.4031475521188,14.7569567323532,-0,-0
1.54,-40.5717142587833,21.732961945466,14.9072292964271,-0,-0
1.56,-41.2286346092339,22.063923489575,15.0562148470786,-0,-0
1.58,-41.891601607737,22.3960270488107,15.2039131098814,-0,-0
1.6,-42.5608097711007,22.7292726498878,15.350317822725,-0,-0
1.62,-43.236454549526,23.0636589198822,15.4954240951155,-0,-0
1.64,-43.9187255532696,23.399182065155,15.6392296132348,-0,-0
1.66,-44.6078309151584,23.7358400811544,15.7817298398188,-0,-0
1.68,-45.303991433894,24.0736314779255,15.9229194356278,-0,-0
1.7,-46.0074053251362,24.412549792855,16.0627986508439,-0,-0
1.72,-46.718331808416,24.7525964526477,16.2013583587747,-0,-0
1.74,-47.4370045285176,25.09376723961,16.3385957922407,-0,-0
1.76,-48.1636748595176,25.4360589576511,16.474506796746,-0,-0
1.78,-48.8986135703845,25.7794693786331,16.6090858518886,-0,-0
1.8,-49.6420820638686,26.1239933395692,16.74233073404,-0,-0
1.82,-50.3943740383003,26.4696281800571,16.8742360208942,-0,-0
1.84,-51.1558062791535,26.8163721289498,17.0047949601149,-0,-0
1.86,-51.9266860354214,27.1642203119224,17.1340043324106,-0,-0
1.88,-52.5933604025613,27.4624255785323,17.2433752218156,-0,-0
