Tout,Bottom,Mid,top,elbow,wrist
18.18,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.2,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.22,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.24,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.26,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.28,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.3,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.32,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.34,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.36,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.38,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.4,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.42,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.44,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.46,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.48,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.5,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.52,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.54,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.56,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.58,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.6,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.62,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.64,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.66,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.68,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.7,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.72,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.74,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.76,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.78,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.8,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.82,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.84,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.86,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.88,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.9,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.92,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.94,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.96,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
18.98,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.02,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.04,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.06,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.08,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.1,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
19.12,-35.26438968,18.39816626,11.52826861,18.39816626,11.52826861
