Time_s,BottomArm_deg,MiddleArm_deg,TopArm_deg,Bicep_deg,Wrist_deg
0,9.46533073203543e-12,-4.5418320851299e-12,-2.28999937065373e-12,-0,-0
0.02,-0.000696297597046343,0.000348150045580279,0.000348147551656898,-0,-0
0.04,-0.00546057093024426,0.00273036080254304,0.00273021011679793,-0,-0
0.06,-0.0167594216368049,0.00838041823916224,0.00837900307930313,-0,-0
0.08,-0.0352777727798416,0.0176420203624208,0.017635749444729,-0,-0
0.1,-0.0611322989148458,0.0305755566459346,0.0305567268020243,-0,-0
0.12,-0.0943244757626503,0.0471846247753637,0.0471397941633106,-0,-0
0.14,-0.134821483424801,0.0674564501476413,0.0673648673764275,-0,-0
0.16,-0.182589614708949,0.0913785917123812,0.091210610863529,-0,-0
0.18,-0.237576739546443,0.118930106091225,0.118645725683469,-0,-0
0.2,-0.299731696768762,0.15009125391739,0.149638620061515,-0,-0
0.22,-0.368995155989195,0.184838879253287,0.184152875657276,-0,-0
0.24,-0.445296907669998,0.223144988951309,0.222145941252247,-0,-0
0.26,-0.528560771706123,0.264979170347528,0.263571605069437,-0,-0
0.28,-0.618705977027441,0.310309257458501,0.30838068769202,-0,-0
0.3,-0.715655340253787,0.359105476572663,0.356525048855124,-0,-0
0.32,-0.81928730125522,0.41131585444908,0.407934221437426,-0,-0
0.34,-0.929522628464886,0.466910483607003,0.462557783610041,-0,-0
0.36,-1.04625114079133,0.52584402316561,0.520329597249401,-0,-0
0.38,-1.16935427494849,0.588067105527718,0.581178943943237,-0,-0
0.4,-1.29871557570822,0.653531726849002,0.645035589786943,-0,-0
0.42,-1.43421537155984,0.722188462366762,0.711827227617326,-0,-0
0.44,-1.57570342518706,0.793972069052919,0.78146657933363,-0,-0
0.46,-1.72305588683049,0.86883117957175,0.853878511482978,-0,-0
0.48,-1.87613284208075,0.946706099609208,0.928979859569171,-0,-0
0.5,-2.03478175141487,1.02753043858523,1.00668124196126,-0,-0
0.52,-2.19885259010664,1.11123907421876,1.08689416678335,-0,-0
0.54,-2.36818971106176,1.19776376769572,1.16952730597181,-0,-0
0.56,-2.54261825565864,1.28702574145588,1.25448043766438,-0,-0
0.58,-2.72197863009015,1.37895419850841,1.34166016780724,-0,-0
0.6,-2.90610274854628,1.47347350125684,1.43096914392612,-0,-0
0.62,-3.09481076242488,1.5705012766157,1.52230474511721,-0,-0
0.64,-3.2879232801548,1.66995501279204,1.61556460535984,-0,-0
0.66,-3.48525815539738,1.77175024908889,1.71064525482964,-0,-0
0.68,-3.6866173606509,1.87579315609773,1.80743667115201,-0,-0
0.7,-3.89181547446562,1.98199646308663,1.90583438204811,-0,-0
0.72,-4.10065981937427,2.09026832112415,2.00573107230644,-0,-0
0.74,-4.3129479717709,2.20051076136634,2.10701577885401,-0,-0
0.76,-4.52847944993874,2.31262632743387,2.20957871309066,-0,-0
0.78,-4.74705117728833,2.42651544759683,2.31330948781301,-0,-0
0.8,-4.96844655447956,2.54206991104671,2.41809320708383,-0,-0
0.82,-5.19246212854924,2.6591886344447,2.52382039322278,-0,-0
0.84,-5.41888514547483,2.77776440849114,2.63037865103026,-0,-0
0.86,-5.64749768338387,2.89768613996405,2.7376545915116,-0,-0
0.88,-5.87808263837311,3.01884255470339,2.8455358195931,-0,-0
0.9,-6.11042289384424,3.14112181186668,2.9539104709588,-0,-0
0.92,-6.34429008580004,3.26440398956409,3.06266470271505,-0,-0
0.94,-6.57946763444645,3.38857635646647,3.17168824497104,-0,-0
0.96,-6.81572832126427,3.51351845998797,3.28086920064425,-0,-0
0.98,-7.0528458647484,3.63910976514742,3.39009693796319,-0,-0
1,-7.29059323901426,3.7652286625335,3.49926152723801,-0,-0
1.02,-7.52874193105487,3.89175186212903,3.60825385081353,-0,-0
1.04,-7.76706260314772,4.01855445543305,3.71696656687447,-0,-0
1.06,-8.00532589432018,4.14551170214546,3.82529193653876,-0,-0
1.08,-8.24330116232842,4.27249674129265,3.93312442659907,-0,-0
1.1,-8.4807578962798,4.39938222753885,4.04035975733788,-0,-0
1.12,-8.7174645411924,4.52603977979637,4.14689426328412,-0,-0
1.14,-8.95319256932335,4.65234149163504,4.25262823877951,-0,-0
1.16,-9.18771066269481,4.77815801806002,4.35746084614818,-0,-0
1.18,-9.42078723674284,4.90335927795574,4.46129266929084,-0,-0
1.2,-9.65219468671289,5.02781643531452,4.56402841512065,-0,-0
1.22,-9.8817039510778,5.15139968903256,4.665572972051,-0,-0
1.24,-10.1090854255612,5.27397862637955,4.76583216676106,-0,-0
1.26,-10.33412068221,5.3954278747333,4.86471968996284,-0,-0
1.28,-10.5565770344293,5.51561504089997,4.96214183243908,-0,-0
1.3,-10.7762337718251,5.63441324101365,5.05801314906381,-0,-0
1.32,-10.9928706152919,5.75169573921602,5.15224928606939,-0,-0
1.34,-11.2062656283452,5.86733482657582,5.24476606420905,-0,-0
